Sequence_ID,Motif_ID,Position,Direction,Score,P-value,Full/ Half-site
seq1,MA0106.1,0,-,1.104,0.0004999500049995,1
seq1,MA0106.1,1,-,-2.1,0.0007999200079992001,1
seq1,MA0106.1,6,+,1.297,0.004299570042995701,0
seq2,MA0106.1,1,-,-2.238,0.0007999200079992001,1
seq1,MA0106.2,10,+,1.137,0.014298570142985701,0
seq2,MA0106.2,2,+,1.23,0.013598640135986401,0
seq2,MA0106.3,1,-,-0.714,0.0007999200079992001,1
seq2,MA0106.3,1,+,0.998,0.010298970102989701,0
seq1,MA0525.1,8,+,0.69,0.0342965703429657,0
seq2,MA0525.1,0,+,0.759,0.0336966303369663,0
seq1,MA0525.2,1,-,-3.947,0.00029997000299970003,1
seq1,MA0525.2,3,-,-5.287,0.00029997000299970003,1
seq1,MA0525.2,2,-,-5.678,0.00029997000299970003,1
seq1,MA0525.2,0,-,-5.828,0.00029997000299970003,1
seq2,MA0525.2,1,-,-2.282,0.00029997000299970003,1
seq2,MA0525.2,3,-,-3.719,0.00029997000299970003,1
seq2,MA0525.2,0,-,-4.379,0.00029997000299970003,1
seq2,MA0525.2,2,-,-5.675,0.00029997000299970003,1
