Sequence_ID,Motif_ID,Position,Direction,Score,P-value,Full/ Half-site
seq1,MA0106.1,0,-,1.283,9.999000099990002e-05,1
seq1,MA0106.1,1,-,-2.1,0.0004999500049995,1
seq1,MA0106.1,6,+,1.297,0.0038996100389961006,0
seq2,MA0106.1,1,-,-2.238,0.0005999400059994001,1
seq2,MA0106.1,0,-,-2.868,0.0005999400059994001,1
seq1,MA0106.2,1,-,1.38,0.0008999100089991,1
seq1,MA0106.2,0,+,1.297,0.0008999100089991,1
seq1,MA0106.2,0,+,1.53,0.013598640135986401,0
seq1,MA0106.2,10,+,1.137,0.015398460153984602,0
seq2,MA0106.2,2,+,1.23,0.014898510148985102,0
seq1,MA0106.3,3,-,-2.284,0.000999900009999,1
seq1,MA0106.3,1,-,-2.301,0.000999900009999,1
seq2,MA0106.3,1,-,-0.714,0.0006999300069993001,1
seq2,MA0106.3,0,-,-2.717,0.000999900009999,1
seq2,MA0106.3,1,+,0.998,0.010998900109989001,0
seq1,MA0525.1,8,+,0.69,0.032396760323967606,0
seq2,MA0525.1,0,+,0.759,0.031796820317968204,0
seq1,MA0525.2,1,-,-3.947,0.00019998000199980003,1
seq1,MA0525.2,3,-,-5.287,0.00019998000199980003,1
seq1,MA0525.2,2,-,-5.678,0.00019998000199980003,1
seq1,MA0525.2,0,-,-5.738,0.00019998000199980003,1
seq2,MA0525.2,1,-,-2.282,0.00019998000199980003,1
seq2,MA0525.2,3,-,-3.719,0.00019998000199980003,1
seq2,MA0525.2,0,-,-4.379,0.00019998000199980003,1
seq2,MA0525.2,2,-,-5.675,0.00019998000199980003,1
